obs_id,market_pig,market_pig_original,log_scale,size_class,Report_year,Scale-up,No.,E_TE_VRS,E_TE_CRS,E_SE,L_TE_VRS,L_TE_CRS,L_SE,G_TE_VRS,G_TE_CRS,G_SE,A_TE_VRS,A_TE_CRS,A_SE,Meta_TE_VRS,Meta_TE_CRS,Meta_Source,E_TGR_VRS,E_TGR_CRS,L_TGR_VRS,L_TGR_CRS,G_TGR_VRS,G_TGR_CRS,A_TGR_VRS,A_TGR_CRS
1,0.18867924528301888,2500,3.3979400086720375,Small,2019,0,F1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,E,1,1,1,1,1,1,1,1
2,0.2188679245283019,2900,3.462397997898956,Small,2023,0,F12,1,0.32776538852275466,0.32776538852275466,1,0.25383224020836004,0.25383224020836004,1,0.5187730511136469,0.5187730511136469,1,0.37937819121856803,0.37937819121856803,1,0.5187730511136469,E,1,0.6318088185559037,1,0.4892934196629141,1,1,1,0.731298957037493
3,0.27169811320754716,3600,3.5563025007672873,Small,2022,0,F4,1,0.48092033738844403,0.48092033738844403,1,0.3859411819406664,0.3859411819406664,1,0.6230907247976468,0.6230907247976468,1,0.5169080516006138,0.5169080516006138,1,0.6230907247976468,E,1,0.7718303583232223,1,0.6193980532546101,1,1,1,0.8295871388046795
4,0.27169811320754716,3600,3.5563025007672873,Small,2024,0,F13,1,0.43397056512236615,0.43397056512236615,1,0.29099851485473616,0.29099851485473616,1,0.5301751651518933,0.5301751651518933,1,0.41702850109909456,0.41702850109909456,1,0.5301751651518933,E,1,0.8185418587044436,1,0.5488723991274961,1,1,1,0.7865862615040019
5,0.29147169811320756,3862,3.5868122694433757,Small,2023,N/A,F2,0.3305701622565849,0.24555359719489667,0.7428183944935135,0.35556952738406633,0.17811901192857843,0.5009400362258384,0.5756341798947804,0.46872854681585463,0.8142819922568411,0.4485541864358214,0.3152930370191718,0.702909584958881,0.5756341798947804,0.46872854681585463,G,0.5742712538664912,0.523871649941059,0.6177005115454759,0.38000461704022165,1,1,0.7792348024188074,0.6726559309455463
6,0.3018867924528302,4000,3.6020599913279625,Small,2022,0,F24,0.9999999999994377,0.3814602810244334,0.3814602810246479,1,0.5824976055616755,0.5824976055616755,0.9999999999994377,0.6771671086064927,0.6771671086068735,1,0.5684116290543608,0.5684116290543608,1,0.6771671086064927,L,0.9999999999994377,0.5633177928700951,1,0.8601977239567459,0.9999999999994377,1,1,0.8393963939330513
7,0.34883018867924526,4622,3.6648299411430907,Small,2024,0,F29,0.35057842586783666,0.29821438783754756,0.8506353096296073,0.5263180080690115,0.41072876402899294,0.780381362089244,0.750198623820437,0.6028913573588243,0.8036423131364324,0.5765648729363934,0.46055829876182397,0.7987970137969761,0.750198623820437,0.6028913573588243,G,0.4673141415302689,0.49464034306940413,0.7015715456644024,0.6812649725621105,1,1,0.7685496275642282,0.763915908132205
8,0.3622641509433962,4800,3.681241237375587,Small,2020,0,F14,0.655748772453287,0.49472235653025737,0.7544388602961501,0.6941921305604768,0.30183607192897777,0.434801921026217,0.734206462260477,0.4944444762755419,0.6734406487696183,0.756115948437184,0.4600228059402707,0.6084024637902319,0.756115948437184,0.49472235653025737,A,0.8672595437361876,1,0.918102748652905,0.6101120516281284,0.9710236423104265,0.9994383106988243,1,0.9298605568720353
9,0.3622641509433962,4800,3.681241237375587,Small,2021,0,F21,0.9999999999992307,0.5637546529090227,0.5637546529094564,0.9999999999992304,0.6613052880839833,0.6613052880844922,0.9999999999992307,0.7147944289209458,0.7147944289214957,0.9999999999992307,0.6554812779230462,0.6554812779235505,0.9999999999992307,0.7147944289209458,E,1,0.7886948052464079,0.9999999999999997,0.9251684978606929,1,1,1,0.9170206865106115
10,0.3622641509433962,4800,3.681241237375587,Small,2024,0,F45,1,0.9999999999992305,0.9999999999992305,0.9999999999992304,0.9999999999992305,1.0000000000000002,0.9999999999992304,0.9999999999992304,1,0.9999999999992304,1,1.0000000000007696,1,1,E,1,0.9999999999992305,0.9999999999992304,0.9999999999992305,0.9999999999992304,0.9999999999992304,0.9999999999992304,1
