Frontier,Period,Period_Code,N,Coef_Linear,Coef_Quad,U_Shape,Trough_Scale,RSS
E,2018-2020,Period_1,25,-0.6585030792515618,0.8483836510801535,TRUE,2.443952408738465,2.385290252975106
E,2021-2023,Period_2,27,-2.633514594342525,4.972315143449254,TRUE,1.8399996809560772,49.04507361459329
E,2024-2025,Period_3,34,-3.4488233129686803,6.344481973022147,TRUE,1.8698082738036315,2.466907692976012
L,2018-2020,Period_1,25,-0.9915633102738723,1.227412478853213,TRUE,2.5346864431264224,4.0551330929240255
L,2021-2023,Period_2,27,-3.6050539352376942,7.048580173309805,TRUE,1.8018933659020409,97.60497032333657
L,2024-2025,Period_3,34,-3.0059673771942865,5.601069946389801,TRUE,1.8549776234856505,1.5152864461987854
G,2018-2020,Period_1,25,-0.9857975658178963,1.1253088666306517,TRUE,2.7416499008874715,3.2031907402881954
G,2021-2023,Period_2,27,-1.856240443188644,3.6581604760132023,TRUE,1.7935449948609614,27.030106209474933
G,2024-2025,Period_3,34,-2.194428420996426,4.103332872940059,TRUE,1.850954985855571,0.8645703423738921
A,2018-2020,Period_1,25,-1.1590983557953312,1.3618151447882847,TRUE,2.6642262710079576,4.777778499470111
A,2021-2023,Period_2,27,-2.680744549977838,5.102044985390326,TRUE,1.8311029032957684,52.06654312784397
A,2024-2025,Period_3,34,-2.70154992657076,4.959354079227347,TRUE,1.8722728150060317,1.3141496173466798
