multiplier,cor_min,cor_max,cor_mean,cor_median,cor_EL,cor_EG,cor_EA,cor_LG,cor_LA,cor_GA,E_mean,E_sd,E_min,E_max,L_mean,L_sd,L_min,L_max,G_mean,G_sd,G_min,G_max,A_mean,A_sd,A_min,A_max,mean_diff_EL,mean_diff_EG,mean_diff_EA,max_diff,n_valid
1,0.9587740605232626,0.9946355695557366,0.9774117850526554,0.977174876065678,0.9587740605232626,0.9683485976388383,0.9712134792678642,0.9831362728634919,0.9946355695557366,0.9883627304667383,0.8936068714769925,0.15702620793805025,0.5104911937290507,1,0.880934022225964,0.18079783546371683,0.4276020229408118,1,0.9089916279233151,0.1359951666357433,0.5929365465848033,1,0.8742391271224477,0.18854508304330406,0.4118590681555782,1,0.021646952522559194,0.02237529120540252,0.020704498497613324,0.31290197476377923,86
2,0.9445751631066995,0.9932964854793772,0.9708621587896,0.9731862388904857,0.9445751631066995,0.9525891929985016,0.9668543776856754,0.9795181000952962,0.9932964854793772,0.98833963337205,0.8792983658628902,0.17833724116838848,0.4389307981432363,1,0.8680664787207282,0.2016691849606571,0.36169691041741303,1,0.906208629133856,0.14077018539726166,0.5704492739035861,1,0.8742391271224477,0.18854508304330406,0.4118590681555782,1,0.02706686740046982,0.03408464407170845,0.018749929228080196,0.3700423002226759,86
3,0.9380495871786371,0.9926042990185527,0.9676414527420638,0.9710970394832834,0.9380495871786371,0.9451776260735866,0.9642636868436771,0.9779303921228898,0.9926042990185527,0.9878231252150399,0.8699787691842267,0.1923591528876864,0.38969014935806384,1,0.8618251286315919,0.21164946690151826,0.33063829132814226,1,0.9048152670771747,0.143207646490891,0.5599552133189385,1,0.8742391271224477,0.18854508304330406,0.4118590681555782,1,0.029231710180552737,0.0416204423724104,0.022941467910074113,0.3944820270839267,86
4,0.9340844567659328,0.9921930536686696,0.96565964975802,0.9697209927990132,0.9340844567659328,0.9408328161546888,0.9624454057008571,0.9769965798971694,0.9921930536686696,0.9874055863608023,0.8635208233612748,0.20217391936921086,0.3546045614633699,1,0.8582009428181622,0.21745103144556335,0.31265698553968946,1,0.9039502849030749,0.14471828269014606,0.5538797045595883,1,0.8742391271224477,0.18854508304330406,0.4118590681555782,1,0.030999077441337532,0.04705428834209339,0.02700855741382641,0.40738349880400593,86
5,0.931468400863046,0.9919207025552248,0.9643269467918886,0.968768901534659,0.931468400863046,0.9379609009712102,0.9611780416555596,0.9763597614137585,0.9919207025552248,0.9870738732925325,0.8588559821292486,0.20929610967511697,0.3295434272528025,1,0.8558373433745832,0.2212381772899186,0.3009300469819264,1,0.9033704000534055,0.14572909189234665,0.5499174162381977,1,0.8742391271224477,0.18854508304330406,0.4118590681555782,1,0.03238937781582222,0.05105826143974095,0.030420444304890343,0.4152084578066093,86
6,0.9296011941175805,0.9917276027411261,0.9633635306730154,0.9680689412852884,0.9296011941175805,0.9359038921853312,0.9602437534055849,0.975894129164992,0.9917276027411261,0.9868106124234779,0.8553310904792214,0.21469060861362654,0.31074757659487695,1,0.8541740696920647,0.2239047790628461,0.29267775688574893,1,0.902958200355877,0.1464479049837433,0.547129139271108,1,0.8742391271224477,0.18854508304330406,0.4118590681555782,1,0.033533815891624325,0.0540956454718048,0.03302742568260412,0.42040129889331956,86
7,0.9281776888053646,0.9915832540476813,0.9626335628457015,0.9675321412580639,0.9281776888053646,0.9343631325618402,0.9595171447599985,0.9755471377561292,0.9915832540476813,0.9866130191431948,0.8525766175323488,0.21890013235077427,0.29612858163854594,1,0.8529381277722743,0.22588577359826154,0.2865550900403152,1,0.9026502142256972,0.14698598239777327,0.5450604176505882,1,0.8742391271224477,0.18854508304330406,0.4118590681555782,1,0.03453374602579068,0.05647562143478348,0.035109685878928223,0.4240719549313764,86
8,0.9270600949528464,0.9914716188876349,0.9620606888947156,0.9671077252061939,0.9270600949528464,0.9331597233586606,0.9589379765968833,0.9752774738155044,0.9914716188876349,0.9864572457567639,0.8503691741098809,0.2222748414076191,0.28443338567398163,1,0.8519827954678019,0.2274163459747366,0.2818318899025732,1,0.902411184098509,0.14740487568699426,0.5434645466861685,1,0.8742391271224477,0.18854508304330406,0.4118590681555782,1,0.035333127626807785,0.05838613127130621,0.03696986782708553,0.42679070371879674,86
9,0.926174286473263,0.9913900408879706,0.961605894054564,0.966772570523571,0.926174286473263,0.9321952109151778,0.9584682559826531,0.9750768850644891,0.9913900408879706,0.9863306850038307,0.8485621843894398,0.22503902194973235,0.27486458897524674,1,0.8512162636293928,0.22864282050444312,0.27807755133121154,1,0.9022204143829635,0.1477393074163943,0.5421960338682799,1,0.8742391271224477,0.18854508304330406,0.4118590681555782,1,0.036062248357678385,0.05995202096503859,0.03850994475772863,0.42887807269998324,86
10,0.9254489569293547,0.9913235805912175,0.9612327612201071,0.9664966427560946,0.9254489569293547,0.9314049770149503,0.9580805735176183,0.974912711994571,0.9913235805912175,0.9862257672729309,0.8470563596224142,0.22734368601879804,0.26689059172638435,1,0.8505923423655688,0.2296412765516201,0.2750216943543886,1,0.9020649142034899,0.1480120968123694,0.5411635234351047,1,0.8742391271224477,0.18854508304330406,0.4118590681555782,1,0.03672264657719514,0.061258450969427766,0.039793342199922435,0.43052696915863325,86
11,0.924843968980714,0.991268399037708,0.9609211672455283,0.9662656097289106,0.924843968980714,0.9307459974753381,0.957755373051302,0.9747758464065192,0.991268399037708,0.9861374185215889,0.8457817789949146,0.22929524992335854,0.2601433632851933,1,0.8500746204658123,0.23046989209701849,0.2724859832462166,1,0.9019358821396823,0.14823869185619645,0.5403067594585477,1,0.8742391271224477,0.18854508304330406,0.4118590681555782,1,0.037317010688213526,0.06236551571066789,0.040879715091026066,0.4318599263408016,86
12,0.9243307833665382,0.9912218536310357,0.9606577335301886,0.9660697733128416,0.9243307833665382,0.9301918576738181,0.957479628109919,0.9746599185157642,0.9912218536310357,0.9860623598840565,0.844686540947748,0.23097281400338343,0.25436002462110086,1,0.8496381098444462,0.23116860503268694,0.2703480307433072,1,0.9018266133212564,0.1484309648992507,0.5395843898313863,1,0.8742391271224477,0.18854508304330406,0.4118590681555782,1,0.03783006043865726,0.06331754569410578,0.041813632221278055,0.43295824917817183,86
13,0.9238896908349203,0.9911820664570272,0.9604321741613454,0.9659017190395388,0.9238896908349203,0.929720136088506,0.9572429104488361,0.9745605276302415,0.9911820664570272,0.9859977135085415,0.8437325102268682,0.23243397465073704,0.24934779777878718,1,0.8492650916771047,0.23176574180273965,0.26852105315008856,1,0.9017330512763085,0.14859580226562435,0.53896709214986,1,0.8742391271224477,0.18854508304330406,0.4118590681555782,1,0.03828015144523526,0.06414790487467037,0.04262785148083392,0.4369117679707622,86
14,0.9235074202153297,0.9911476666821984,0.9602365626785209,0.9657560106259255,0.9235074202153297,0.9293106440832748,0.9570369753733052,0.9744750458785458,0.9911476666821984,0.9859416238384712,0.8428972520497576,0.23371337066461387,0.24496209929213797,1,0.848942652244307,0.23228195125739667,0.26694180133160583,1,0.9016519181555844,0.14873890270479007,0.5384334958488796,1,0.8742391271224477,0.18854508304330406,0.4118590681555782,1,0.03867492799813521,0.06487516472075433,0.043340774629287857,0.4411134680845682,86
15,0.9231728453876558,0.9911176303960786,0.9600653405662598,0.9656283296808448,0.9231728453876558,0.9289526028566986,0.9568564114155861,0.9744002479461035,0.9911176303960786,0.9858923053954367,0.8421599125210902,0.23484299174158849,0.24109236533335954,1,0.8486611575013832,0.23273264071414823,0.2655630894273219,1,0.9015810876533598,0.14886389801185373,0.537967657808434,1,0.8742391271224477,0.18854508304330406,0.4118590681555782,1,0.03902396203261947,0.06551757341513037,0.043970171485613364,0.4448225685432635,86
16,0.922877371887975,0.9910911774903041,0.9599143663691877,0.9655156540571362,0.922877371887975,0.9286377345419066,0.9566970579726263,0.9743342501416462,0.9910911774903041,0.9858486061806679,0.8415036186282825,0.23584861036241378,0.2376526018142227,1,0.8484132740710586,0.23312953983943557,0.2643489998392319,1,0.9015187145245408,0.14897401959249357,0.5375574422205499,1,0.8742391271224477,0.18854508304330406,0.4118590681555782,1,0.039370982213855876,0.06608976485244031,0.04453051633633562,0.44812087868169054,86
17,0.9226154540624035,0.9910677032259488,0.959780638767411,0.9654157882250581,0.9226154540624035,0.9283594783118337,0.9565559897365644,0.9742755867135519,0.9910677032259488,0.9858096205541642,0.8409160988421723,0.23674875405284115,0.23457491866523172,1,0.8481933211681005,0.23348173614109707,0.2632717090785749,1,0.9014633693539025,0.1490717730786461,0.5371934481074424,1,0.8742391271224477,0.18854508304330406,0.4118590681555782,1,0.03970659379689995,0.06660163698127919,0.04503156805757926,0.4510730468590658,86
18,0.9223826713206494,0.991046732540178,0.959662140994213,0.9653272772718892,0.9223826713206494,0.9281142605986249,0.9564314481357823,0.974223106407996,0.991046732540178,0.9857746269620472,0.840386625325112,0.23755956737701772,0.2318050038316904,1,0.8479968247482443,0.23379638608678915,0.2623093293319284,1,0.9014139276681201,0.14915913124825625,0.5368682800329305,1,0.8742391271224477,0.18854508304330406,0.4118590681555782,1,0.04002276501963353,0.06706183439135194,0.04548185087838538,0.4537308349847012,86
