No,market_pig_pre,market_pig_post,A_TE_VRS_pre,A_TE_VRS_post,A_TE_CRS_pre,A_TE_CRS_post,A_SE_pre,A_SE_post,scale_increase,A_TE_VRS_increase,A_TE_CRS_increase,A_SE_increase,scale_pre,scale_pre_category,scale_post_category,transition_type
F1,2500,9200,1,0.999999999999535,1,0.9999999999995347,1,0.9999999999999997,6700,-4.649614027130156e-13,-4.652944696204031e-13,-3.3306690738754696e-16,2500,low,low,low→low
F12,2900,9000,1,0.9999999999999566,0.37937819121856803,0.592687854826638,0.37937819121856803,0.5926878548266638,6100,-4.340972026284362e-14,0.21330966360806997,0.21330966360809572,2900,low,low,low→low
F13,3600,10120,1,1,0.41702850109909456,0.5380770189989043,0.41702850109909456,0.5380770189989043,6520,0,0.1210485178998097,0.1210485178998097,3600,low,medium,low→medium
F14,4800,13000,0.756115948437184,1,0.4600228059402707,0.6822703926468406,0.6084024637902319,0.6822703926468406,8200,0.243884051562816,0.22224758670656997,0.07386792885660876,4800,low,medium,low→medium
F15,11860,19760,0.8272741128762615,0.6910745152708138,0.5968720638609251,0.5721775548048064,0.7214924951364959,0.8279534871584509,7900,-0.13619959760544775,-0.024694509056118696,0.10646099202195491,11860,medium,medium,medium→medium
F21,4800,23200,0.9999999999992307,1,0.6554812779230462,0.7391463734029059,0.6554812779235505,0.7391463734029059,18400,7.69273533762771e-13,0.08366509547985967,0.08366509547935541,4800,low,medium,low→medium
F24,4000,12000,1,1,0.5684116290543608,0.7226740598631534,0.5684116290543608,0.7226740598631534,8000,0,0.15426243080879254,0.15426243080879254,4000,low,medium,low→medium
F27,9200,13500,1,0.9112666285896103,0.999999999999535,0.8583323897027885,0.999999999999535,0.9419113602692228,4300,-0.08873337141038973,-0.14166761029674657,-0.0580886397303122,9200,low,medium,low→medium
F28,5200,16000,0.507940846066074,0.5765806406698,0.4008369203103508,0.49287615510041366,0.7891409470507695,0.8548260561226114,10800,0.06863979460372593,0.09203923479006287,0.06568510907184189,5200,low,medium,low→medium
F29,4622,14000,0.5765648729363934,0.7628068822592615,0.46055829876182397,0.4851766591928359,0.7987970137969761,0.6360412713580301,9378,0.18624200932286816,0.024618360431011954,-0.16275574243894597,4622,low,medium,low→medium
F3,4820,6000,1,1,0.8483040635794449,1,0.8483040635794449,1,1180,0,0.15169593642055512,0.15169593642055512,4820,low,low,low→low
F30,7000,50000,1,1,0.7022934978055221,1,0.7022934978055221,1,43000,0,0.2977065021944779,0.2977065021944779,7000,low,medium,low→medium
F31,4900,24000,0.5867605433298992,0.6597566106764322,0.5596164612517571,0.587538413168192,0.9537390808112319,0.8905381221808499,19100,0.07299606734653297,0.027921951916434873,-0.063200958630382,4900,low,medium,low→medium
F33,4950,11000,0.5836365032129612,0.6215899235849939,0.4815120486829158,0.49723375217790533,0.8250204468571741,0.7999385661050141,6050,0.03795342037203264,0.015721703494989525,-0.025081880752160002,4950,low,medium,low→medium
F4,3600,7000,1,1,0.5169080516006138,0.7944559485609098,0.5169080516006138,0.7944559485609098,3400,0,0.277547896960296,0.277547896960296,3600,low,low,low→low
F45,4800,18000,0.9999999999992304,0.5186739768367226,1,0.45589848066986716,1.0000000000007696,0.8789692582039508,13200,-0.48132602316250783,-0.5441015193301328,-0.12103074179681883,4800,low,medium,low→medium
F46,4800,12000,1,0.6854736609795322,0.6500197115176977,0.5562211608861356,0.6500197115176977,0.8114406031171254,7200,-0.3145263390204678,-0.09379855063156206,0.16142089159942774,4800,low,medium,low→medium
F47,7600,10000,1,1,0.639598332586226,0.5526383238745646,0.639598332586226,0.5526383238745646,2400,0,-0.08696000871166143,-0.08696000871166143,7600,low,medium,low→medium
F48,5000,19495,1,0.6768099859870838,1,0.5622389185600244,1,0.8307190056305613,14495,-0.32319001401291625,-0.4377610814399756,-0.16928099436943866,5000,low,medium,low→medium
F50,7800,80000,0.6661759485475598,1,0.4965371516103113,1,0.7453543657541134,1,72200,0.3338240514524402,0.5034628483896887,0.2546456342458866,7800,low,high,low→high
F53,10000,26000,1,0.47393792101711507,0.45826386754550175,0.44298213949740517,0.45826386754550175,0.9346838897101208,16000,-0.5260620789828849,-0.015281728048096577,0.4764200221646191,10000,medium,medium,medium→medium
F56,30000,360000,0.4710486569393141,1,0.40840565653218985,0.9999999999999999,0.8670137373617549,0.9999999999999999,330000,0.5289513430606859,0.59159434346781,0.13298626263824498,30000,medium,high,medium→high
F62,30000,130000,0.8888888888892585,1,0.8888955768470422,1,1.0000075239525066,1,100000,0.11111111111074146,0.11110442315295777,-7.523952506582887e-6,30000,medium,high,medium→high
F9,4998,9000,1,1,0.5892358503540042,0.6690427768180475,0.5892358503540042,0.6690427768180475,4002,0,0.0798069264640433,0.0798069264640433,4998,low,low,low→low
