obs_id,frontier,efficiency,scale_bin,input_slack_Feed,input_slack_Water_consumption,input_slack_Energy_consumption,input_slack_Labor,bad_slack_Waste_water,bad_slack_Manure,bad_slack_Dead_pig,bad_slack_Carbon_emission,bad_slack_Eutrophication_potential,good_output_slack
1,E,1,<5k,0,0,0,0,0,0,0,0,0,0
2,E,1,<5k,0,0,0,0,0,0,0,0,0,0
3,E,1,<5k,0,0,0,0,0,0,0,0,0,0
4,E,1,<5k,0,0,0,0,0,0,0,0,0,0
5,E,0.33057016225721364,<5k,0.25540669836368507,0.3100983595685719,0.8875392333352881,0.9378353376481192,0.5128611890207216,0.13888937645403887,0.30895988469809904,0.06858120958577246,0,0
6,E,0.9999999999994377,<5k,0,0,0,0,0,0,0,0,0,0
7,E,0.35057842586813637,<5k,0.11851656393026788,0.2063763214998744,0.27562040169671603,0.27178538390407464,0.12607224869016714,0.058548434911073456,0.6520778284887235,0.013325660387701412,0,0
8,E,0.6557487724532274,<5k,0.07957713513905888,0.2720810826343623,0.7204896220792772,0,0,0,0.07628221779958369,0.1345542471173774,0,0
9,E,0.9999999999992307,<5k,0,0,0,0,0,0,0,0,0,0
10,E,0.9999999999992304,<5k,0,0,0,0,0,0,0,0,0,0
11,E,1,<5k,0,0,0,0,0,0,0,0,0,0
12,E,1,<5k,0,0,0,0,0,0,0,0,0,0
13,E,0.7582621554148753,<5k,0.5737509189380269,0.40485635949600457,0.3876597150845466,0.014184397161538782,0.6374516932156316,0.16997921586888318,0.002302025781910026,0.030872566812821207,0,0
14,E,0.47886972144981943,<5k,0.030660155417675194,0.21974761603219564,0.02732635708991462,0.4306873620560344,0.18135467707093694,0,0.24174334076446682,0.04358943692835294,0,0.05409881796644299
15,E,1,<5k,0,0,0,0,0,0,0,0,0,0
16,E,1,5-10k,0,0,0,0,0,0,0,0,0,0
17,E,0.36773633096728076,5-10k,0.6280342108342759,0.2564297089337318,0.17896921389758919,0.6054711246198422,0.0792590578171744,0.09164176858495916,0.34017363851595317,0.053868590678533064,0,0
18,E,1,5-10k,0,0,0,0,0,0,0,0,0,0
19,E,1,5-10k,0,0,0,0,0,0,0,0,0,0
20,E,1,5-10k,0,0,0,0,0,0,0,0,0,0
21,E,1,5-10k,0,0,0,0,0,0,0,0,0,0
22,E,1,5-10k,0,0,0,0,0,0,0,0,0,0
23,E,1,5-10k,0,0,0,0,0,0,0,0,0,0
24,E,0.49212666292875545,5-10k,0.5536427147212817,0.07734709592724721,0.09204906239048627,0.6140086792154892,0.44653860633128045,0.39397490541440094,0.7081339862871614,0,0,0
25,E,1,5-10k,0,0,0,0,0,0,0,0,0,0
