frontier,variable_type,variable_name,mean_slack
E,Input,Feed,0.37228035297095413
E,Input,Water_consumption,0.2660835972949862
E,Input,Energy_consumption,3.420789039993195
E,Input,Labor,0.3000632998350962
E,Bad Output,Waste_water,0.42543395873008866
E,Bad Output,Manure,0.37903002202612124
E,Bad Output,Dead_pig,0.5189363262034087
E,Bad Output,Carbon_emission,0.6266630065390085
E,Bad Output,Eutrophication_potential,0
L,Input,Feed,0.3845213984905684
L,Input,Water_consumption,0.32616703693303356
L,Input,Energy_consumption,3.3282826844698135
L,Input,Labor,0.2967003498064018
L,Bad Output,Waste_water,0.5038093779855107
L,Bad Output,Manure,0.5066876765434872
L,Bad Output,Dead_pig,0.4326662812192874
L,Bad Output,Carbon_emission,0.588370982906996
L,Bad Output,Eutrophication_potential,9.598864974405441e-4
G,Input,Feed,0.38370944629650877
G,Input,Water_consumption,0.21486673579374901
G,Input,Energy_consumption,3.567875351510531
G,Input,Labor,0.35126147949796177
G,Bad Output,Waste_water,0.3330570120278921
G,Bad Output,Manure,0.3478643212713646
G,Bad Output,Dead_pig,0.4481312109127475
G,Bad Output,Carbon_emission,0.6554135179627861
G,Bad Output,Eutrophication_potential,0.0014226327847832198
A,Input,Feed,0.3986050243901795
A,Input,Water_consumption,0.2944295319884076
A,Input,Energy_consumption,3.407036159818695
A,Input,Labor,0.30171671432181907
A,Bad Output,Waste_water,0.45631667349557375
A,Bad Output,Manure,0.47893275015237335
A,Bad Output,Dead_pig,0.47526193478669065
A,Bad Output,Carbon_emission,0.6061962382187066
A,Bad Output,Eutrophication_potential,5.172040652849694e-5
